域名,类别,严重度,系统DNS_A,阿里DNS_A,谷歌DNS_A,DNSPod_A,114DNS_A,AAAA异常
0zbqnac1t4dv2t2wuodv1m.com,c2,high,85.239.149.178,85.239.149.178,85.239.149.178,85.239.149.178,85.239.149.178,
1drvms.store,phishing,high,ENODATA,ENODATA,ENODATA,ENODATA,ENODATA,
2-api.mooo.com,network_activity,high,188.5.4.96,ETIMEOUT,54.76.135.1,77.4.7.92,77.4.7.92,系统DNS=2001::1(内网/特殊地址v6);阿里223.5.5.5=2001::1(内网/特殊地址v6);谷歌8.8.8.8=2001::1(内网/特殊地址v6);DNSPod119.29.29.29=2001::1(内网/特殊地址v6);114DNS114.114.114.114=2001::1(内网/特殊地址v6)
2rxyt9urhq0bgj.org,c2,high,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,
adobe.caladzy.com,c2,high,193.233.112.90,193.233.112.90,193.233.112.90,193.233.112.90,193.233.112.90,
adserviceupdate.com,c2,high,65.109.197.222,65.109.197.222,65.109.197.222,65.109.197.222,65.109.197.222,
aerobickarlaurbanovas.top,c2,high,ENOTFOUND,ENOTFOUND,ETIMEOUT,ENOTFOUND,ENOTFOUND,
almacensantangel.com,c2,high,192.185.86.177,192.185.86.177,192.185.86.177,192.185.86.177,192.185.86.177,
almersalstore.com,phishing,high,ENODATA,ENODATA,ENODATA,ENODATA,ENODATA,
amazonalert.xyz,phishing,high,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,
amazonattention.com,phishing,high,172.67.190.89;104.21.57.117,104.21.57.117;172.67.190.89,172.67.190.89;104.21.57.117,104.21.57.117;172.67.190.89,ETIMEOUT,
ametax.net,c2,high,ENOTFOUND,ENOTFOUND,ETIMEOUT,ETIMEOUT,ENOTFOUND,
angryipscanner.org,c2,high,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,
anus-staylard.xyz,c2,high,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,
apdhlhs3.xyz,c2,high,ENOTFOUND,ENOTFOUND,ETIMEOUT,ENOTFOUND,ENOTFOUND,
apigrokcloud.icu,c2,high,ENOTFOUND,ESERVFAIL,ENOTFOUND,ENOTFOUND,ENOTFOUND,
ashx.lhlsjcb.com,network_activity,high,221.228.32.13,221.228.32.13,104.251.55.114,104.251.55.114,ETIMEOUT,系统DNS=::1(回环地址v6);阿里223.5.5.5=::1(回环地址v6)
auramatrixa.com,c2,high,ESERVFAIL,ESERVFAIL,ESERVFAIL,ESERVFAIL,ETIMEOUT,
auth.hospitalinstallation.com,c2,high,45.137.205.53,45.137.205.53,45.137.205.53,45.137.205.53,45.137.205.53,
auth.samecloud.o-r.kr,c2,high,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,
axiscamerastation.org,c2,high,ENOTFOUND,ESERVFAIL,ENOTFOUND,ENOTFOUND,ENOTFOUND,
bduwih8.pro,c2,high,104.21.61.3;172.67.204.80,172.67.204.80;104.21.61.3,172.67.204.80;104.21.61.3,172.67.204.80;104.21.61.3,104.21.61.3;172.67.204.80,
beta.padmin.com,network_activity,high,4.174.244.151,4.174.244.151,4.174.244.151,4.174.244.151,4.174.244.151,
bqdrzbyq.cn,phishing,high,ENODATA,ENODATA,ENODATA,ENODATA,ENODATA,
breaksd.wifihot.icu,c2,high,ENOTFOUND,ENOTFOUND,ETIMEOUT,ENOTFOUND,ENOTFOUND,
c.windowsupdate-cdn.com,network_activity,high,162.141.111.227,162.141.111.227,162.141.111.227,162.141.111.227,162.141.111.227,
cartaobb.com,network_activity,high,ENODATA,ENODATA,ENODATA,ENODATA,ENODATA,
cartaobrb.com.br,network_activity,high,189.125.201.196,189.125.201.196,189.125.201.196,189.125.201.196,189.125.201.196,
cdnwoopress.com,network_activity,high,172.67.189.35;104.21.65.69,172.67.189.35;104.21.65.69,172.67.189.35;104.21.65.69,104.21.65.69;172.67.189.35,ETIMEOUT,
cl.distritovagas.com,c2,high,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,
cloudlanecdn.com,c2,high,ESERVFAIL,ESERVFAIL,ETIMEOUT,ESERVFAIL,ETIMEOUT,
commit.hanbiro.o-r.kr,c2,high,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,
computer.kplus.com,network_activity,high,104.21.74.212;172.67.206.120,104.21.74.212;172.67.206.120,104.21.74.212;172.67.206.120,172.67.206.120;104.21.74.212,172.67.206.120;104.21.74.212,
comunidadesparentais.com.br,network_activity,high,ESERVFAIL,ESERVFAIL,ESERVFAIL,ESERVFAIL,ETIMEOUT,
contrite.quirksturdy.icu,c2,high,104.21.44.89;172.67.198.57,172.67.198.57;104.21.44.89,ETIMEOUT,172.67.198.57;104.21.44.89,104.21.44.89;172.67.198.57,
couldinstallup.com,c2,high,188.208.141.177;194.5.97.169,194.5.97.169;188.208.141.177,ETIMEOUT,188.208.141.177;194.5.97.169,188.208.141.177;194.5.97.169,
cpppemwjewjoiwejow.sale,c2,high,172.67.144.214;104.21.55.54,104.21.55.54;172.67.144.214,172.67.144.214;104.21.55.54,172.67.144.214;104.21.55.54,ETIMEOUT,
creativecommunityinfo.art,c2,high,ENODATA,ENODATA,ETIMEOUT,ENODATA,ENODATA,
crefisa.online,network_activity,high,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,
deep-harborio.com,c2,high,172.67.172.146;104.21.80.11,104.21.80.11;172.67.172.146,104.21.80.11;172.67.172.146,172.67.172.146;104.21.80.11,104.21.80.11;172.67.172.146,
deepdive.hypernas.com,phishing,high,13.233.70.40,ETIMEOUT,13.233.70.40,13.233.70.40,ETIMEOUT,
defenceprodindia.site,phishing,high,172.67.198.241;104.21.60.179,172.67.198.241;104.21.60.179,ETIMEOUT,172.67.198.241;104.21.60.179,104.21.60.179;172.67.198.241,
denika.se,phishing,high,95.155.236.35,95.155.236.35,ETIMEOUT,95.155.236.35,ETIMEOUT,
digital-magicians.com,c2,high,213.136.93.164,213.136.93.164,213.136.93.164,213.136.93.164,213.136.93.164,
dodod.lat,c2,high,104.21.79.27;172.67.140.235,ESERVFAIL,172.67.140.235;104.21.79.27,104.21.79.27;172.67.140.235,104.21.79.27;172.67.140.235,
dronemaker.org,network_activity,high,84.200.205.244,84.200.205.244,ETIMEOUT,84.200.205.244,ETIMEOUT,
elcat.kg,phishing,high,212.42.102.197,212.42.102.197,212.42.102.197,212.42.102.197,212.42.102.197,
elev8souvenirs.com,c2,high,91.204.209.33,91.204.209.33,91.204.209.33,91.204.209.33,91.204.209.33,
enhanceblabber.cc,c2,high,104.21.56.49;172.67.177.145,172.67.177.145;104.21.56.49,104.21.56.49;172.67.177.145,104.21.56.49;172.67.177.145,104.21.56.49;172.67.177.145,
etaxtw.cn,phishing,high,103.115.56.86,103.115.56.86,103.115.56.86,103.115.56.86,103.115.56.86,
ev2sirbd269o5j.org,c2,high,188.40.187.145,188.40.187.145,188.40.187.145,188.40.187.145,188.40.187.145,
fadoklismokley.com,c2,high,178.16.53.92,178.16.53.92,178.16.53.92,178.16.53.92,178.16.53.92,
fair-bath-fond.xyz,c2,high,ESERVFAIL,ENOTFOUND,ETIMEOUT,ENOTFOUND,ENOTFOUND,
fast.raidher.icu,c2,high,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,
fiusyevr.live,c2,high,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,
fuaytrwese.love,c2,high,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,
fvxcuvuyte.live,c2,high,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,
gasrobariokley.com,c2,high,178.16.53.93,178.16.53.93,178.16.53.93,178.16.53.93,178.16.53.93,
