域名,状态,系统DNS,阿里DNS,谷歌DNS,DNSPod,114DNS
0zbqnac1t4dv2t2wuodv1m.com,正常,85.239.149.178,85.239.149.178,85.239.149.178,85.239.149.178,85.239.149.178
1drvms.store,已失效,ENODATA,ENODATA,ENODATA,ENODATA,ENODATA
2-api.mooo.com,正常,188.5.4.96,ETIMEOUT,54.76.135.1,77.4.7.92,77.4.7.92
2rxyt9urhq0bgj.org,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
adobe.caladzy.com,正常,193.233.112.90,193.233.112.90,193.233.112.90,193.233.112.90,193.233.112.90
adserviceupdate.com,正常,65.109.197.222,65.109.197.222,65.109.197.222,65.109.197.222,65.109.197.222
aerobickarlaurbanovas.top,已失效,ENOTFOUND,ENOTFOUND,ETIMEOUT,ENOTFOUND,ENOTFOUND
almacensantangel.com,正常,192.185.86.177,192.185.86.177,192.185.86.177,192.185.86.177,192.185.86.177
almersalstore.com,已失效,ENODATA,ENODATA,ENODATA,ENODATA,ENODATA
amazonalert.xyz,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
amazonattention.com,正常,172.67.190.89;104.21.57.117,104.21.57.117;172.67.190.89,172.67.190.89;104.21.57.117,104.21.57.117;172.67.190.89,ETIMEOUT
ametax.net,已失效,ENOTFOUND,ENOTFOUND,ETIMEOUT,ETIMEOUT,ENOTFOUND
angryipscanner.org,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
anus-staylard.xyz,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
apdhlhs3.xyz,已失效,ENOTFOUND,ENOTFOUND,ETIMEOUT,ENOTFOUND,ENOTFOUND
apigrokcloud.icu,已失效,ENOTFOUND,ESERVFAIL,ENOTFOUND,ENOTFOUND,ENOTFOUND
ashx.lhlsjcb.com,正常,221.228.32.13,221.228.32.13,104.251.55.114,104.251.55.114,ETIMEOUT
auramatrixa.com,已失效,ESERVFAIL,ESERVFAIL,ESERVFAIL,ESERVFAIL,ETIMEOUT
auth.hospitalinstallation.com,正常,45.137.205.53,45.137.205.53,45.137.205.53,45.137.205.53,45.137.205.53
auth.samecloud.o-r.kr,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
axiscamerastation.org,已失效,ENOTFOUND,ESERVFAIL,ENOTFOUND,ENOTFOUND,ENOTFOUND
bduwih8.pro,正常,104.21.61.3;172.67.204.80,172.67.204.80;104.21.61.3,172.67.204.80;104.21.61.3,172.67.204.80;104.21.61.3,104.21.61.3;172.67.204.80
beta.padmin.com,正常,4.174.244.151,4.174.244.151,4.174.244.151,4.174.244.151,4.174.244.151
bqdrzbyq.cn,已失效,ENODATA,ENODATA,ENODATA,ENODATA,ENODATA
breaksd.wifihot.icu,已失效,ENOTFOUND,ENOTFOUND,ETIMEOUT,ENOTFOUND,ENOTFOUND
c.windowsupdate-cdn.com,正常,162.141.111.227,162.141.111.227,162.141.111.227,162.141.111.227,162.141.111.227
cartaobb.com,已失效,ENODATA,ENODATA,ENODATA,ENODATA,ENODATA
cartaobrb.com.br,正常,189.125.201.196,189.125.201.196,189.125.201.196,189.125.201.196,189.125.201.196
cdnwoopress.com,正常,172.67.189.35;104.21.65.69,172.67.189.35;104.21.65.69,172.67.189.35;104.21.65.69,104.21.65.69;172.67.189.35,ETIMEOUT
cl.distritovagas.com,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
cloudlanecdn.com,已失效,ESERVFAIL,ESERVFAIL,ETIMEOUT,ESERVFAIL,ETIMEOUT
commit.hanbiro.o-r.kr,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
computer.kplus.com,正常,104.21.74.212;172.67.206.120,104.21.74.212;172.67.206.120,104.21.74.212;172.67.206.120,172.67.206.120;104.21.74.212,172.67.206.120;104.21.74.212
comunidadesparentais.com.br,已失效,ESERVFAIL,ESERVFAIL,ESERVFAIL,ESERVFAIL,ETIMEOUT
contrite.quirksturdy.icu,正常,104.21.44.89;172.67.198.57,172.67.198.57;104.21.44.89,ETIMEOUT,172.67.198.57;104.21.44.89,104.21.44.89;172.67.198.57
couldinstallup.com,正常,188.208.141.177;194.5.97.169,194.5.97.169;188.208.141.177,ETIMEOUT,188.208.141.177;194.5.97.169,188.208.141.177;194.5.97.169
cpppemwjewjoiwejow.sale,正常,172.67.144.214;104.21.55.54,104.21.55.54;172.67.144.214,172.67.144.214;104.21.55.54,172.67.144.214;104.21.55.54,ETIMEOUT
creativecommunityinfo.art,已失效,ENODATA,ENODATA,ETIMEOUT,ENODATA,ENODATA
crefisa.online,已失效,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND
deep-harborio.com,正常,172.67.172.146;104.21.80.11,104.21.80.11;172.67.172.146,104.21.80.11;172.67.172.146,172.67.172.146;104.21.80.11,104.21.80.11;172.67.172.146
deepdive.hypernas.com,正常,13.233.70.40,ETIMEOUT,13.233.70.40,13.233.70.40,ETIMEOUT
